TOKEN TABLE
===========

No.  | Type                       | Lexeme                                       
-----+-------------------------+-----------------------------------------------
1    | COMMENT                    | # identifiers                                
2    | IDENTIFIER                 | Hero                                         
3    | IDENTIFIER                 | villain                                      
4    | NEWLINE                    | \n                                           
5    | COMMENT                    | # assignment operators                       
6    | ASSIGNMENT_ASSIGN          | =                                            
7    | ASSIGNMENT_PLUS_ASSIGN     | +=                                           
8    | ASSIGNMENT_MINUS_ASSIGN    | -=                                           
9    | ASSIGNMENT_MULT_ASSIGN     | *=                                           
10   | ASSIGNMENT_DIV_ASSIGN      | /=                                           
11   | ASSIGNMENT_MOD_ASSIGN      | %=                                           
12   | NEWLINE                    | \n                                           
13   | COMMENT                    | # arithmetic operators                       
14   | ARITHMETIC_PLUS            | +                                            
15   | ARITHMETIC_MINUS           | -                                            
16   | ARITHMETIC_MULTIPLY        | *                                            
17   | ARITHMETIC_DIVIDE          | /                                            
18   | ARITHMETIC_FLOOR_DIVIDE    | //                                           
19   | ARITHMETIC_MODULUS         | %                                            
20   | ARITHMETIC_EXPONENT        | ^                                            
21   | NEWLINE                    | \n                                           
22   | COMMENT                    | # relational operators                       
23   | RELATIONAL_EQUAL_EQUAL     | ==                                           
24   | RELATIONAL_NOT_EQUAL       | !=                                           
25   | RELATIONAL_GREATER         | >                                            
26   | RELATIONAL_LESS            | <                                            
27   | RELATIONAL_GREATER_EQUAL   | >=                                           
28   | RELATIONAL_LESS_EQUAL      | <=                                           
29   | NEWLINE                    | \n                                           
30   | COMMENT                    | # logical operators (keywords)               
31   | KEYWORD_AND                | and                                          
32   | KEYWORD_OR                 | or                                           
33   | KEYWORD_NOT                | not                                          
34   | KEYWORD_IS                 | is                                           
35   | NEWLINE                    | \n                                           
36   | COMMENT                    | # keywords                                   
37   | KEYWORD_CHARACTER          | character                                    
38   | KEYWORD_SCENE              | scene                                        
39   | KEYWORD_TEMPLATE           | template                                     
40   | KEYWORD_DIALOGUE           | dialogue                                     
41   | KEYWORD_NARRATE            | narrate                                      
42   | KEYWORD_CHOICE             | choice                                       
43   | KEYWORD_OPTION             | option                                       
44   | KEYWORD_ASK                | ask                                          
45   | KEYWORD_IF                 | if                                           
46   | KEYWORD_ELIF               | elif                                         
47   | KEYWORD_ELSE               | else                                         
48   | KEYWORD_REPEAT             | repeat                                       
49   | KEYWORD_FOR                | for                                          
50   | KEYWORD_SHOW               | show                                         
51   | KEYWORD_START              | start                                        
52   | KEYWORD_END                | end                                          
53   | KEYWORD_BECOMES            | becomes                                      
54   | KEYWORD_UNTIL              | until                                        
55   | KEYWORD_TIMES              | times                                        
56   | NEWLINE                    | \n                                           
57   | COMMENT                    | # reserved words                             
58   | RES_KEY_TRUE               | true                                         
59   | RES_KEY_FALSE              | false                                        
60   | RES_KEY_RETURN             | return                                       
61   | RES_KEY_IN                 | in                                           
62   | RES_KEY_ERROR              | error                                        
63   | RES_KEY_FIXED              | fixed                                        
64   | RES_KEY_BREAK              | break                                        
65   | RES_KEY_CONTINUE           | continue                                     
66   | RES_KEY_PASS               | pass                                         
67   | RES_KEY_WITH               | with                                         
68   | NEWLINE                    | \n                                           
69   | COMMENT                    | # noise word                                 
70   | NOISE_THE                  | the                                          
71   | NOISE_A                    | a                                            
72   | NOISE_AN                   | an                                           
73   | NOISE_AS                   | as                                           
74   | NOISE_THEN                 | then                                         
75   | NOISE_OF                   | of                                           
76   | NOISE_TO                   | to                                           
77   | NEWLINE                    | \n                                           
78   | COMMENT                    | # Integer Literal                            
79   | INTEGER_LITERAL            | 1234                                         
80   | INTEGER_LITERAL            | 999999                                       
81   | NEWLINE                    | \n                                           
82   | COMMENT                    | # Float Literal                              
83   | FLOAT_LITERAL              | 3.14                                         
84   | FLOAT_LITERAL              | 2.718281828459045                            
85   | NEWLINE                    | \n                                           
86   | COMMENT                    | # String Literal                             
87   | STRING_LITERAL             | "Hello, world!"                              
88   | STRING_LITERAL             | "infinity"                                   
89   | STRING_LITERAL             | "String with spaces"                         
90   | INVALID                    | ""                                           
91   | NEWLINE                    | \n                                           
92   | COMMENT                    | # character literals #                       
93   | CHAR_LITERAL               | 'i'                                          
94   | CHAR_LITERAL               | 'a'                                          
95   | CHAR_LITERAL               | 'Z'                                          
96   | NEWLINE                    | \n                                           
97   | COMMENT                    | # comments                                   
98   | COMMENT                    | # this is a single line comment              
99   | MULTILINE_COMMENT          | ## this is multi-line  comment ##            
100  | NEWLINE                    | \n                                           
101  | COMMENT                    | # delimiters                                 
102  | LPAREN                     | (                                            
103  | RPAREN                     | )                                            
104  | LBRACKET                   | [                                            
105  | RBRACKET                   | ]                                            
106  | COLON                      | :                                            
107  | COMMA                      | ,                                            
108  | DOT                        | .                                            
109  | NEWLINE                    | \n                                           
110  | COMMENT                    | # invalids                                   
111  | INVALID                    | 143variable                                  
112  | INVALID                    | 'Aa'                                         
113  | INVALID                    | 9name                                        
114  | INVALID                    | my$var                                       
115  | INVALID                    | 123.456.789                                  
116  | INVALID                    | "unterminated string                         

Total tokens: 116
