TOKEN TABLE
===========

No.  | Type                     | Lexeme                                       
-----+-------------------------+-----------------------------------------------
1    | KEYWORD_CHARACTER        | character                                    
2    | IDENTIFIER               | X                                            
3    | KEYWORD_CHARACTER        | character                                    
4    | IDENTIFIER               | X                                            
5    | COLON                    | :                                            
6    | IDENTIFIER               | role                                         
7    | ASSIGNMENT_ASSIGN        | =                                            
8    | INVALID                  | ”Protagonist                               
9    | KEYWORD_SCENE            | scene                                        
10   | IDENTIFIER               | Town                                         
11   | COLON                    | :                                            
12   | LBRACKET                 | [                                            
13   | INVALID                  | “Town_Gate”                              
14   | COMMA                    | ,                                            
15   | KEYWORD_SCENE            | scene                                        
16   | IDENTIFIER               | description                                  
17   | RBRACKET                 | ]                                            
18   | COMMA                    | ,                                            
19   | LBRACKET                 | [                                            
20   | INVALID                  | “Town_House”                             
21   | COMMA                    | ,                                            
22   | KEYWORD_SCENE            | scene                                        
23   | IDENTIFIER               | description                                  
24   | RBRACKET                 | ]                                            
25   | COMMA                    | ,                                            
26   | LBRACKET                 | [                                            
27   | INVALID                  | “Town_Castle”                            
28   | COMMA                    | ,                                            
29   | KEYWORD_SCENE            | scene                                        
30   | IDENTIFIER               | description                                  
31   | RBRACKET                 | ]                                            
32   | IDENTIFIER               | Show                                         
33   | KEYWORD_SCENE            | scene                                        
34   | DOT                      | .                                            
35   | IDENTIFIER               | Town                                         
36   | COLON                    | :                                            
37   | INVALID                  | “Town_Gate”                              
38   | KEYWORD_TEMPLATE         | template                                     
39   | IDENTIFIER               | greet                                        
40   | LPAREN                   | (                                            
41   | KEYWORD_CHARACTER        | character                                    
42   | RPAREN                   | )                                            
43   | COLON                    | :                                            
44   | KEYWORD_DIALOGUE         | dialogue                                     
45   | KEYWORD_CHARACTER        | character                                    
46   | COLON                    | :                                            
47   | STRING_LITERAL           | "Hello!"                                     
48   | IDENTIFIER               | emotion                                      
49   | KEYWORD_CHARACTER        | character                                    
50   | STRING_LITERAL           | "happy"                                      
51   | IDENTIFIER               | greet                                        
52   | LPAREN                   | (                                            
53   | IDENTIFIER               | X                                            
54   | RPAREN                   | )                                            
55   | KEYWORD_DIALOGUE         | dialogue                                     
56   | IDENTIFIER               | X                                            
57   | COLON                    | :                                            
58   | INVALID                  | “Hello                                     
59   | COMMA                    | ,                                            
60   | IDENTIFIER               | World                                        
61   | INVALID                  | !                                            
62   | INVALID                  | ”                                          
63   | KEYWORD_NARRATE          | narrate                                      
64   | COLON                    | :                                            
65   | INVALID                  | “Miranda_Rights                            
66   | DOT                      | .                                            
67   | INVALID                  | txt”                                       
68   | KEYWORD_CHOICE           | choice                                       
69   | NOISE_AS                 | as                                           
70   | IDENTIFIER               | level                                        
71   | COLON                    | :                                            
72   | LBRACKET                 | [                                            
73   | INVALID                  | “A”                                      
74   | COMMA                    | ,                                            
75   | RELATIONAL_LESS          | <                                            
76   | KEYWORD_CHOICE           | choice                                       
77   | IDENTIFIER               | description                                  
78   | RELATIONAL_GREATER       | >                                            
79   | RBRACKET                 | ]                                            
80   | COMMA                    | ,                                            
81   | LBRACKET                 | [                                            
82   | INVALID                  | “B”                                      
83   | COMMA                    | ,                                            
84   | RELATIONAL_LESS          | <                                            
85   | KEYWORD_CHOICE           | choice                                       
86   | IDENTIFIER               | description                                  
87   | RELATIONAL_GREATER       | >                                            
88   | RBRACKET                 | ]                                            
89   | COMMA                    | ,                                            
90   | LBRACKET                 | [                                            
91   | INVALID                  | “C”                                      
92   | COMMA                    | ,                                            
93   | RELATIONAL_LESS          | <                                            
94   | KEYWORD_CHOICE           | choice                                       
95   | IDENTIFIER               | description                                  
96   | RELATIONAL_GREATER       | >                                            
97   | RBRACKET                 | ]                                            
98   | KEYWORD_OPTION           | option                                       
99   | INVALID                  | “Accept”                                 
100  | NOISE_THEN               | then                                         
101  | IDENTIFIER               | X                                            
102  | DOT                      | .                                            
103  | IDENTIFIER               | power                                        
104  | ASSIGNMENT_PLUS_ASSIGN   | +=                                           
105  | INTEGER_LITERAL          | 100                                          
106  | KEYWORD_OPTION           | option                                       
107  | INVALID                  | “Reject”                                 
108  | NOISE_THEN               | then                                         
109  | IDENTIFIER               | X                                            
110  | DOT                      | .                                            
111  | IDENTIFIER               | power                                        
